state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Dadra and Nagar Haveli and Daman and Diu,Maharashtra,-0.04996475978652952,512804.0,0.0,0.0,True
Odisha,West Bengal,-0.049872437001095844,677528.5,0.0,0.0,True
Manipur,Meghalaya,0.04961989330878558,2534700.5,3.16683268169073e-211,7.498150923465046e-211,True
Tripura,Uttar Pradesh,-0.04952676273220495,780799.0,0.0,0.0,True
Kerala,Puducherry,0.04938271604938282,3285760.0,2.4127616060398545e-144,4.469958343821204e-144,True
Kerala,Ladakh,0.04938271604938282,1568721.0,1.5130799723978435e-158,2.9589119460224493e-158,True
Andhra Pradesh,Jammu and Kashmir,-0.04925956396544631,4813860.0,8.212015822628369e-188,1.8529676727981962e-187,True
Chhattisgarh,Odisha,0.0492105263157896,9994937.0,0.0,0.0,True
Maharashtra,Meghalaya,0.04905348152742055,14562355.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Mizoram,-0.048778707164827656,415978.0,7.448045916413297e-217,1.7956932620393702e-216,True
Manipur,Tripura,0.04865556978233035,1174636.0,4.4368047215012633e-103,6.93086654719724e-103,True
Arunachal Pradesh,Rajasthan,-0.048306687295856965,1326964.5,0.0,0.0,True
Assam,Jammu and Kashmir,-0.04818283449815081,2041301.0,8.028064681231279e-119,1.337166609365967e-118,True
Maharashtra,Tripura,0.04808915800096532,6722725.5,0.0,0.0,True
Meghalaya,Mizoram,-0.047867428905718684,773301.0,0.0,0.0,True
Haryana,Puducherry,0.047619047619047616,4229521.0,2.0368534405464718e-170,4.2174847710138706e-170,True
Andaman and Nicobar Islands,Ladakh,0.047619047619047616,1257259.0,1.547497179415152e-150,2.928596812656631e-150,True
Andaman and Nicobar Islands,Puducherry,0.047619047619047616,2649268.5,6.231323751247401e-137,1.1267599111844616e-136,True
Andaman and Nicobar Islands,Rajasthan,-0.047619047619047616,952544.5,0.0,0.0,True
Haryana,Ladakh,0.047619047619047616,1983079.0,4.566890521238843e-163,9.099313944204184e-163,True
Haryana,Rajasthan,-0.047619047619047616,1937258.5,0.0,0.0,True
Himachal Pradesh,Nagaland,-0.047312412589242445,3040662.0,5.900127260195117e-164,1.1845122408300464e-163,True
Dadra and Nagar Haveli and Daman and Diu,Punjab,-0.04700303303975606,841198.0,0.0,0.0,True
Arunachal Pradesh,Puducherry,0.04693140794223827,1615256.5,7.410004046684322e-29,9.708392398633553e-29,True
Arunachal Pradesh,Ladakh,0.04693140794223827,797858.0,9.552140661662101e-67,1.4009806303771083e-66,True
