state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Maharashtra,Punjab,-0.001594214578797104,9630508.0,0.009804191365357096,0.01018061756088564,True
Chhattisgarh,Jharkhand,0.0015825487055700777,6599647.0,2.216235520172523e-24,2.658588980852119e-24,True
Himachal Pradesh,Telangana,0.0015577563135566186,9179438.0,0.3233546371316758,0.326648572314681,False
Haryana,Tripura,-0.0015340364333652906,6885019.0,1.784853212195748e-08,1.9593868288864762e-08,True
Karnataka,Rajasthan,-0.0014187228919475131,8189852.0,7.344579165653573e-11,8.198920456967872e-11,True
Andhra Pradesh,Sikkim,-0.0013871247249959556,5489416.0,0.339995322003356,0.34287663829152004,False
Jharkhand,Tamil Nadu,-0.0013518939685147197,8172252.0,0.0035699511671787205,0.0037330772310568343,True
Dadra and Nagar Haveli and Daman and Diu,Tripura,0.001322795403458213,2418910.5,0.2690634694585349,0.27273043326716906,False
Andaman and Nicobar Islands,Gujarat,0.0012946859117042714,6009198.5,1.0298515885449394e-09,1.141083231255566e-09,True
Rajasthan,Uttarakhand,0.001280628593269273,6841020.0,8.674190863293873e-28,1.0554485815255327e-27,True
Haryana,Nagaland,0.0012292438462748467,5742186.5,0.0159072571520059,0.01640349740978078,True
Haryana,West Bengal,0.001030854170338713,9208751.0,0.29518256524576736,0.29869664340345503,False
Andaman and Nicobar Islands,Odisha,0.0008756340716984945,6268181.5,4.191824361906153e-15,4.814933388675987e-15,True
Dadra and Nagar Haveli and Daman and Diu,Uttarakhand,-0.0006180716380799756,2514830.5,0.0030435544914576844,0.003193853478690163,True
Dadra and Nagar Haveli and Daman and Diu,Karnataka,-0.00047997733940173537,2444699.5,0.11334736621033437,0.11568041662975806,False
Gujarat,Odisha,-0.0004190518400057769,9182829.0,0.6337467009178044,0.6348136145557132,False
Jharkhand,Manipur,0.00032625299114254214,2875602.0,0.0003463495504791553,0.0003673404323263768,True
Bihar,Madhya Pradesh,0.000314264768538311,9020613.0,0.7197656208992131,0.7197656208992131,False
Bihar,Chandigarh,0.000314264768538311,8248152.0,0.04532151981072142,0.04649362808168835,True
Chhattisgarh,Tamil Nadu,0.000230654737055358,8217762.5,5.823227003700848e-16,6.714767572096908e-16,True
Nagaland,West Bengal,-0.00019838967593613366,6145648.0,0.4029685359395663,0.40569590335709294,False
Karnataka,Uttarakhand,-0.0001380942986782402,6974804.5,0.012096201049001021,0.01251693847679236,True
Chandigarh,Madhya Pradesh,0.0,8329221.0,0.008662592655592176,0.009010913688946407,True
