state_a,state_b,median_diff,U_statistic,p_value,p_value_bh,significant_bh
Arunachal Pradesh,Manipur,0.20195895980557982,2129430.0,1.2454383328759997e-80,1.5902055966978966e-80,True
Andhra Pradesh,Odisha,0.20158874639486726,18697833.0,0.0,0.0,True
Kerala,Manipur,0.2010269641077837,3493631.0,1.7069610478516175e-129,2.3674634579760195e-129,True
Andaman and Nicobar Islands,Andhra Pradesh,-0.197253538302476,1585956.5,0.0,0.0,True
Andhra Pradesh,Jammu and Kashmir,0.19567787561358815,15221654.5,0.0,0.0,True
Chhattisgarh,Ladakh,0.1956289978678038,2231500.0,5.390290373845419e-293,9.929482267609983e-293,True
Andhra Pradesh,Tamil Nadu,0.19529136458349122,18635732.0,0.0,0.0,True
Manipur,Puducherry,0.19149342114680115,4500496.0,0.0,0.0,True
Jharkhand,Karnataka,-0.18843758553184914,2247571.5,0.0,0.0,True
Gujarat,Ladakh,0.18781512605042017,2233743.5,7.226241739999353e-282,1.3108578766157361e-281,True
Andhra Pradesh,Meghalaya,0.18721013367810418,13389953.0,0.0,0.0,True
Andhra Pradesh,Uttarakhand,0.18546962734899033,16208329.5,0.0,0.0,True
Karnataka,Maharashtra,0.18480946301933873,13017267.5,0.0,0.0,True
Ladakh,West Bengal,-0.18462883409289993,22212.0,2.957558581613608e-303,5.622196025751108e-303,True
Dadra and Nagar Haveli and Daman and Diu,Manipur,-0.18400770686108692,188682.0,9.502991202117241e-299,1.7780753978804273e-298,True
Andhra Pradesh,Punjab,0.18251062084350247,17149269.5,0.0,0.0,True
Assam,Manipur,0.18225175259837262,3690124.5,6.11941265309329e-62,7.5228316706415445e-62,True
Ladakh,Madhya Pradesh,-0.181978021978022,19036.0,1.3073588560033823e-305,2.5174062113980985e-305,True
Andhra Pradesh,Uttar Pradesh,0.181951512988449,14859180.5,0.0,0.0,True
Andhra Pradesh,Haryana,0.18185299082096135,17515038.0,0.0,0.0,True
Himachal Pradesh,Manipur,-0.17375943099901792,559381.0,0.0,0.0,True
Andhra Pradesh,Tripura,0.17319498216295268,11875965.5,0.0,0.0,True
Karnataka,Madhya Pradesh,0.17074527783954146,13063206.0,0.0,0.0,True
Karnataka,West Bengal,0.16809446572466352,11828628.5,3.83074087947883e-309,7.473084666524274e-309,True
Ladakh,Maharashtra,-0.1679138367982247,20574.0,2.2016053110067716e-304,4.1985742309263754e-304,True
Goa,Karnataka,0.16711797002370643,7565936.0,0.0,0.0,True
Delhi,Manipur,-0.1660965957499757,643171.5,0.0,0.0,True
Andhra Pradesh,Rajasthan,0.16576973632711078,14838048.5,0.0,0.0,True
Gujarat,Karnataka,-0.16490817376714326,4351283.5,1.0733968156639494e-258,1.8512205951305792e-258,True
Jharkhand,Ladakh,0.1642857142857143,1956196.0,1.504976060338789e-300,2.8427325584177123e-300,True
Puducherry,Sikkim,-0.16428571428571428,513436.0,0.0,0.0,True
Nagaland,Puducherry,0.16428571428571428,9410192.0,0.0,0.0,True
Andhra Pradesh,Chandigarh,0.15804346701143754,14089297.5,0.0,0.0,True
Chhattisgarh,Karnataka,-0.15709430194975962,4299286.0,1.1377530608983105e-257,1.9509022225777943e-257,True
Dadra and Nagar Haveli and Daman and Diu,Nagaland,-0.15680000000000005,112708.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Sikkim,-0.15680000000000005,222039.0,0.0,0.0,True
Puducherry,Telangana,-0.1559026227273545,983781.5,0.0,0.0,True
Andhra Pradesh,Arunachal Pradesh,-0.1544565329885625,4135384.0,8.408285502567656e-16,9.129434076692984e-16,True
Manipur,Odisha,0.15408631957784993,5549315.5,0.0,0.0,True
Andhra Pradesh,Kerala,-0.15352453729076637,5914191.5,2.2936460395353184e-50,2.7239908054361567e-50,True
Andaman and Nicobar Islands,Manipur,-0.14975111148545867,897989.5,2.2409915316643988e-185,3.4189486188213264e-185,True
Dadra and Nagar Haveli and Daman and Diu,Telangana,-0.1484169084416403,292831.5,0.0,0.0,True
Jammu and Kashmir,Manipur,-0.14817544879657082,611319.5,0.0,0.0,True
Bihar,Ladakh,0.14816193858276133,2178343.0,1.2245917655840644e-294,2.2769753141328697e-294,True
Manipur,Tamil Nadu,0.1477889377664739,5509166.0,0.0,0.0,True
Andhra Pradesh,Mizoram,0.1469323559003264,8798928.0,0.0,0.0,True
Karnataka,Telangana,0.14682067709020893,12258392.0,0.0,0.0,True
Himachal Pradesh,Nagaland,-0.14655172413793105,29544.5,0.0,0.0,True
Himachal Pradesh,Sikkim,-0.14655172413793105,480208.0,0.0,0.0,True
Chhattisgarh,Puducherry,0.1456289978678038,13686636.0,0.0,0.0,True
Ladakh,Mizoram,-0.14206349206349206,139363.0,3.1877347450036696e-181,4.838525952237713e-181,True
Andhra Pradesh,Bihar,0.14083390938105717,14907942.5,0.0,0.0,True
Manipur,Meghalaya,0.13970770686108686,3963680.5,4.216061702649527e-163,6.118431007503583e-163,True
Delhi,Sikkim,-0.13888888888888884,632487.0,0.0,0.0,True
Delhi,Nagaland,-0.13888888888888884,55021.5,0.0,0.0,True
Karnataka,Sikkim,0.13843758553184915,6142601.0,6.270117647562856e-109,8.421489842663429e-109,True
Karnataka,Nagaland,0.13843758553184915,7261170.5,1.3500926220693198e-180,2.044033359112583e-180,True
Himachal Pradesh,Telangana,-0.13816863257957124,403534.5,0.0,0.0,True
Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,0.1381432835820896,5272765.5,0.0,0.0,True
Manipur,Uttarakhand,0.137967200531973,4777463.5,0.0,0.0,True
Gujarat,Puducherry,0.13781512605042018,13202856.0,0.0,0.0,True
Manipur,Punjab,0.13500819402648515,5040951.0,1.439500308977278e-283,2.6192742625121726e-283,True
Andhra Pradesh,Assam,-0.1347493257813553,7737140.0,1.51526093870146e-17,1.6542757037199425e-17,True
Puducherry,West Bengal,-0.1346288340928999,1000594.5,0.0,0.0,True
Manipur,Uttar Pradesh,0.13444908617143167,4365786.5,0.0,0.0,True
Haryana,Manipur,-0.13435056400394402,879567.0,0.0,0.0,True
Madhya Pradesh,Puducherry,0.13197802197802197,14369635.0,0.0,0.0,True
Chandigarh,Ladakh,0.13095238095238093,1921113.0,9.14201459323165e-210,1.4352239269057605e-209,True
Delhi,Telangana,-0.13050579733052906,745649.5,0.0,0.0,True
Dadra and Nagar Haveli and Daman and Diu,Gujarat,-0.13032941176470597,603091.5,0.0,0.0,True
